PropertyUS,PropertyInternational,Cost,Site,ColorSet,H1,H2,H3,H4,Hotel,Building Cost,Mortgage,UnmortgageCost,Index,Emoji,Action
START,START,,,,,,,,,,,,0,,7
Mediterranean Avenue,Old Kent Road,60,2,0,10,30,90,160,250,50,30,33,1,:brown_square:,2
Community Chest,Community Chest,,,,,,,,,,,,2,,0
Baltic Avenue,Whitechapel Road,60,4,0,20,60,180,320,450,50,30,33,3,:brown_square:,2
Income Tax,Income Tax,200,,-2,,,,,,,,,4,,4
Reading RR,Kings Cross Station,200,,8,25,50,100,200,,,100,110,5,,5
Oriental Avenue,The Angel Islington,100,6,1,30,90,270,400,550,50,50,55,6,:blue_square:,2
Chance,Chance,,,,,,,,,,,,7,,1
Vermont Avenue,Euston Road,100,6,1,30,90,270,400,550,50,50,55,8,:blue_square:,2
Connecticut Avenue,Pentonville Road,120,8,1,40,100,300,450,600,50,60,66,9,:blue_square:,2
Just Visiting Jail,Just Visiting Jail,,,,,,,,,,,,10,,-1
St. Charles Place,Pall Mall,140,10,2,50,150,450,625,750,100,70,77,11,:purple_square:,2
Electric Company,Electric Company,150,,9,4,10,,,,,75,83,12,,6
States Avenue,Whitehall,140,10,2,50,150,450,625,750,100,70,77,13,:purple_square:,2
Virginia Avenue,Northumberland Avenue,160,12,2,60,180,500,700,900,100,80,88,14,:purple_square:,2
Pennsylvania RR,Marylebone Station,200,,8,25,50,100,200,,,100,110,15,,5
St. James Place,Bow Street,180,14,3,70,200,550,750,950,100,90,99,16,:orange_square:,2
Community Chest,Community Chest,,,,,,,,,,,,17,,0
Tennessee Avenue,Marlborough Street,180,14,3,70,200,550,750,950,100,90,99,18,:orange_square:,2
New York Avenue,Vine Street,200,16,3,80,220,600,800,1000,100,100,110,19,:orange_square:,2
Free Parking,Free Parking,,,,,,,,,,,,20,,-1
Kentucky Avenue,Strand,220,18,4,90,250,700,875,1050,150,110,121,21,:red_square:,2
Chance,Chance,,,,,,,,,,,,22,,1
Indiana Avenue,Fleet Street,220,18,4,90,250,700,875,1050,150,110,121,23,:red_square:,2
Illinois Avenue,Trafalgar Square,240,20,4,100,300,750,925,1100,150,120,132,24,:red_square:,2
B&O RR,Fenchurch St Station,200,-,8,25,50,100,200,,,100,110,25,,5
Atlantic Avenue,Leicester Square,260,22,5,110,330,800,975,1150,150,130,143,26,:yellow_square:,2
Ventnor Avenue,Coventry Street,260,22,5,110,330,800,975,1150,150,130,143,27,:yellow_square:,2
Water Works,Water Works,150,,9,4,10,,,,,75,83,28,,6
Marvin Gardens,Piccadilly,280,24,5,120,360,850,1025,1200,150,140,154,29,:yellow_square:,2
Go To Jail,Go To Jail,,,,,,,,,,,,30,,3
Pacific Avenue,Regent Street,300,26,6,130,390,900,1100,1275,200,150,165,31,:green_square:,2
North Carolina Avenue,Oxford Street,300,26,6,130,390,900,1100,1275,200,150,165,32,:green_square:,2
Community Chest,Community Chest,,,,,,,,,,,,33,,0
Pennsylvania Avenue,Bond Street,320,28,6,150,450,1000,1200,1400,200,160,176,34,:green_square:,2
Short Line,Liverpool Street Station,200,,8,25,50,100,200,,,100,110,35,,5
Chance,Chance,,,,,,,,,,,,36,,1
Park Place,Park Lane,350,35,7,175,500,1100,1300,1500,200,175,193,37,:black_large_square:,2
Super Tax,Super Tax,100,,-2,,,,,,,,,38,,2
Boardwalk,Mayfair,400,50,7,200,600,1400,1700,2000,200,200,220,39,:black_large_square:,4
Get Out of Jail Free Card,Get Out of Jail Free Card,,,-1,,,,,,,,,40,:flag_white:,-1
